INFORMATICA_USER,WORKFLOW,FULLPATH,PARAMETER_FILE,CONNECTIONS,USE_TNS,COMMENT
INFO_REP_PROD,wf_Billing_Credentials_informatica_all_connections,,,"BILLING, STG",,
INFO_REP_PROD,wf_Billing_Credentials,$PMRootDir/Scripts/runAjob/loadParamFile.sh,,informatica cloud,,
INFO_REP_PROD,wf_Billing_Credentials,$PMRootDir/Scripts/runAjob/runAjob.sh,,informatica cloud,,
INFO_REP_PROD,wf_Billing_Credentials,$PMSourceFileDir/Validation_Config/valdiation_config.py,$PMSourceFileDir/Validation_Config/valdiation_config.param,"eMail server, STG",Y,
INFO_REP_PROD,WF_Billing_Monthly_informatica_all_connections,,,"BILLING, DWH, STG",,
INFO_REP_PROD,WF_Billing_Monthly,$PMSourceFileDir/Automatic_billig_to_netsuite/load_data.py,$PMSourceFileDir/Automatic_billig_to_netsuite/Automatic_billing_to_netsuite.param,"eMail server, BILLING, netsuite",N,
INFO_REP_PROD,WF_Billing_Monthly,$PMSourceFileDir/Automatic_billig_to_netsuite/get_csv_monthly.py,"$PMSourceFileDir/Automatic_billig_to_netsuite/Automatic_billing_to_netsuite.param
$PMRootDir\ParamFiles/Billing_Monthly.param","BILLING, eMail server, netsuite",N,
INFO_REP_PROD,WF_Billing_Monthly,$PMSourceFileDir/Automatic_billig_to_netsuite/get_pdf_invoice.py,"$PMSourceFileDir/Automatic_billig_to_netsuite/Automatic_billing_to_netsuite.param
$PMRootDir\ParamFiles/Billing_Monthly.param","eMail server, BILLING, netsuite",N,
INFO_REP_PROD,WF_Billing_Monthly,$PMSourceFileDir/Automatic_billig_to_netsuite/create_breakdown.py,$PMSourceFileDir/Automatic_billig_to_netsuite/Automatic_billing_to_netsuite.param,BILLING,N,
INFO_REP_PROD,WF_Billing_Monthly,$PMSourceFileDir/Automatic_billig_to_netsuite/upload_billing_invoices.py,$PMSourceFileDir/Automatic_billig_to_netsuite/Automatic_billing_to_netsuite.param,"sg, BILLING",N,
INFO_REP_PROD,wf_Billing_Daily_all,,,"ACCOUNT_UPDATER, APM_ODS, MANUAL_ADJUSTMENTS, GTW_ODS, DWH, GENERAL_ODS, STG, BILLING",,
